title,link,domain,publishedAt,source,topic,summary
"Microsoft 365 Copilot Makes AI Accessible and Affordable - EdTech Magazine","https://news.google.com/rss/articles/CBMipgFBVV95cUxONU9sem1TbG5mYXdRS25TYndqbEJRMW1ya3ItYW0zdnlhb3VvVHViU3pqbHhtUWQ5dE92dHd2azgwaEFWX2dXQVhJU0lzbHhnWHp6T2wyNndSU2pKdzF0TGExcmNzWk1Xc2pHNFZEX0I1WDRxUDYzdGp5SXN0d3lpUWktYTgxaE5Pc2tRT2Z0b3RBZlVIbFN1MThraVhTM2NtU3FueS13?oc=5","","Tue, 30 Dec 2025 21:40:00 GMT","Google News – EdTech AI","EdTech","Microsoft 365 Copilot Makes AI Accessible and Affordable  EdTech Magazine"
"The top 26 consumer/edtech companies from Disrupt Startup Battlefield - TechCrunch","https://news.google.com/rss/articles/CBMipwFBVV95cUxPTGJ3aGdrbnBFSW9Fb29TTHNQVzNka28zTmpkUWMyaEZWal9OOGJEWmJDMkFkSU5Hd0Q3cUhDOWNKR2dkOVZmNW5XMTFsMzE1aDIxNzZaWk94VFRWUmJ0WTlSVkNZZnc0X3lrU19RVkZhYThOb1ZYN0Ita1NfMEhVRUdvU0U4RDJYTlVRSzJqY1VJREtZVm5ZaTBlVG9qR2hFYW5LOWFkQQ?oc=5","","Tue, 30 Dec 2025 15:00:00 GMT","Google News – EdTech AI","EdTech","The top 26 consumer/edtech companies from Disrupt Startup Battlefield  TechCrunch"
"Disrupt unveils 26 EC-1s in NY: consumer, enterprise, DTC, edtech - findarticles.com","https://news.google.com/rss/articles/CBMilgFBVV95cUxNdjBHa001UWIxZElZZ3FJRnlnVUFoMTg4SzQzM1NCV2hjcWZzQ1d1a1FLTC13Y2tWMF9TX0FJSzQybHczNmJyRXJZVkdaQ1pabFRobWNmZ2dUeFFfVllCa1FRaE1xT3RjQlFyb0xBWXh2cFU1alN1OS1QelZqY2xBQ19rQTdrbmZkTTd0SUxoU1gzclZsZ0HSAZ4BQVVfeXFMTkZ5a2FmZ3NDSkV1bjMwcVB3SzhTLThFRXl1bHRYVHVvMUVkRGNaVDA5RUJBdTVzcUM0LTlvY2ZhaHBFWXhPS0ZhUFRDU2hlM1BBN3Z4RlRwcEZkNV9DM1VaM2xNb2dFWENDVEcyZ3pMUlJHUk14SzdHbWMtcnlaaVd5ajhyMC1XeWtKOHd6LWlHYXg5cExuLTR3RGo4UlE?oc=5","","Tue, 30 Dec 2025 16:02:58 GMT","Google News – EdTech AI","EdTech","Disrupt unveils 26 EC-1s in NY: consumer, enterprise, DTC, edtech  findarticles.com"
"AI in Online Learning and EdTech Platforms - Analytics Insight","https://news.google.com/rss/articles/CBMioAFBVV95cUxQa3ZweGFIZWp1amZ3OEpuMURjUFBBYmlQT2ZfcUFIWkE5R1E2YW91bWUxTG9Ubmt3dVZHaXlEbkljV2VmYzFaUXNsbXRBSVhTNTgwaTFSN0J6UWJ0ZHM2VlVzQ2M3YmxhMTZHQjFvMGJtejJ2QVc2a25Rb21Eakw3RDhveV9tQXhYYTZxVnU4QTlDbDNKc0haR19DaTItOXRX0gGuAUFVX3lxTE94Z0tQeWZnM1dyVl9GSjlXWk1RdWdZbmNMRjlIaGJMVHdqVTAyd3NBdzlTUU56RWVBOXlISzJfWkpyS2UwNFVEVURGZ2VMdDQ2QWRVcVZ4b0NyOURkUTlZTWtHRGVSS2psR1NjUDBueDd0bWMzLXVMUEdxdXk1YUd6RUZiblQ5YS1sUjZnV1FGWjd3aFJNOHh0T3NVQlc3ZjE2ajg2UmtxaTJfSzR0QQ?oc=5","","Wed, 31 Dec 2025 00:30:00 GMT","Google News – EdTech AI","EdTech","AI in Online Learning and EdTech Platforms  Analytics Insight"
"Startup Battlefield Finalists in Consumer and EdTech Categories Revealed - Букви","https://news.google.com/rss/articles/CBMiowFBVV95cUxQN2tHMXVLWXBvOWxHbUhkMlhFNzc0ZEtZT1ZYTmdqaTI0akpTS1lDanBMWGdSNFhnZXRaZk5hcVpzbEIxb2ROM2FCTVVlTmg5MUZhLUFlTWtOVThmV2R0RlNORlBoZ1poc2t1VVJfOFhWLTV2dzllZjIyc1lhTG9VNHZwUXJJQWROd0NSVWg2RlBXNDF1MmdLc2FOcEV0ZjdwS0Vj0gGoAUFVX3lxTE1VMjlRb0ttWWlKRjhDM0I3VDdCenBmLUs3TWhTMTZqZEFLUFlKUWdkY1ZJX2k0UDRlQ2JxZW4xaDJ0X2ZIMy1Ldjlnc0o5dGdTLWdCZUQ5blBwVHdsTlA0MlF3WUJfbFFmRDFycFIxa2xDRmFUOXJPRVZGbEpMc0VsM3hJX0ZpZEwtdmgyLTNKbW1tOG9aNGR0OFkxdjVDMTh5Q2dwSE9XeQ?oc=5","","Tue, 30 Dec 2025 15:31:24 GMT","Google News – EdTech AI","EdTech","Startup Battlefield Finalists in Consumer and EdTech Categories Revealed  Букви"
"State releases model policy for AI in education - Yahoo","https://news.google.com/rss/articles/CBMiiAFBVV95cUxOeGhPcVNQR1ZZRkhwYzRFMkNWVUxvSW5kdkRwU2V4MW5uWU9kelZtN2FGTUlaOWFSX3ZnOFZ6WEpaZWVqQ2dUX0pvQndmd1dEeXhWV0ZwbDV1THItX3F4c2dnOGhKOENTWEZ5bXk0VTI2Q1BlVGd3V0JfcUVacTl0ZzJSZHc1akVG?oc=5","","Wed, 31 Dec 2025 02:55:00 GMT","Google News – AI Education","AI Education","State releases model policy for AI in education  Yahoo"
"New laws: Illinois education measures focus on immigrant rights, AI in the classroom - NPR Illinois","https://news.google.com/rss/articles/CBMiygFBVV95cUxNeW1MdzItY0s2aG02enU5dW9kak91UzNvMHROZWR6akViYzRMRElObDBKZEo2WGJFWFJ6T1daUS0yOVFYeGdjMy1rdm9CYzlWNHBnZTg5c2RfcFJUaWE1elFuX3Y5UHdUaW1SWVdTMVJYNllsQ2VDQU5veUNGQ2t3NWwxaFJEZ1lNbW5QRDRaRjlYTDdqX0t0Z1N6c3IwNnlVQjk5VWdIVGY3ZUJtVkRUTTR6TEZyWnNLT0dVYldBTHRlbElxSjBkbUhR?oc=5","","Tue, 30 Dec 2025 19:22:00 GMT","Google News – AI Education","AI Education","New laws: Illinois education measures focus on immigrant rights, AI in the classroom  NPR Illinois"
"Ohio Department of Education and Workforce releases model AI in education policy - Spectrum News 1","https://news.google.com/rss/articles/CBMiigFBVV95cUxOUGswMm5UNkJ6RDN3clZGVEIwaGtmMXZjUlhWOVlFSlVqYVNxTWVUQVNtbWxJRDJjbDc3TnNWRWxTM3dzOEdlV284ZG5CUWZlSWZqeXpKR2pFVEg3N20xM1JUTGI2cHFpa1NXdnhUbHhIM183ZTZyc3dNYnd2MC03VURJdWZlSl8ybWc?oc=5","","Tue, 30 Dec 2025 21:23:00 GMT","Google News – AI Education","AI Education","Ohio Department of Education and Workforce releases model AI in education policy  Spectrum News 1"
"New laws: Illinois education measures focus on immigrant rights, AI in the classroom - Capitol News Illinois","https://news.google.com/rss/articles/CBMivAFBVV95cUxOTFF0ZVdkMDhxenV0YWcwVUU4WWE4Y3U0Rm9xaTBJemRLcTVYQm9vWHZfSmlnN0hNVjdDOU1yd2gzcWhsbEhlZnhsVWljNUtBckVvcEllaElXSFlLS3lpWndmNkpVVlQwRXljdDdPeDhTNUR2UDRJSk1lblNqRmVGRWVWWmJRRHRhSnNHcFIwaEpqbE1DR1pua0l4YkZpdTFkTjRXVVJUTlFZOFIxSTFMTWlBM3BhempHdGpfeg?oc=5","","Tue, 30 Dec 2025 13:00:49 GMT","Google News – AI Education","AI Education","New laws: Illinois education measures focus on immigrant rights, AI in the classroom  Capitol News Illinois"
"AI-Enabled Assistive Technologies for Inclusive Education - Amrita Vishwa Vidyapeetham","https://news.google.com/rss/articles/CBMikgFBVV95cUxQbTdQYnI2YWVvZUVBMkNJQ1ZVd28zNGlTT1pjZHk0MXBLTGNtbkpUUVotMkEtYS1ya1JsOEt5STZaeU4yQnEzTjdwblZqY1k5dmNpY1pPRnh4MjNlQnF5QlRDckZYWFJlX2YzSXIxWnNWOVNzZG0tUlJ2aTBqbVdyNHZnc041LUtVS1FEOHBod1pIQQ?oc=5","","Wed, 31 Dec 2025 04:45:21 GMT","Google News – AI Education","AI Education","AI-Enabled Assistive Technologies for Inclusive Education  Amrita Vishwa Vidyapeetham"
"NBE launches free online programme on Artificial Intelligence AI in medical education, PG doctors,... - Medical Dialogues","https://news.google.com/rss/articles/CBMi9wFBVV95cUxNWjhVUXFCaEdCdVdOMTdPY3E4Z1NRcE5uWnRXd1lyVlBRSkE3ckMyVkV3STlQMWl5VzJTbUg4MDVLOUo5MGRzZkxSRWlxcGUyakhEb2ZTRkRWdm1TYVZBTHktd2VhUUttN01CWTN4OHhFdGg1cXVHWWhIeEJLOVo0RFAtd3pzUWRwX3BoVEk2em1yUjEzLXZ2WUJMekNOeV94YzJkUUVEWjZRTEtfMWlDel9kVDNFNEJ3TnVMQk9lcDhlaHZEb1p3M0VjSGhQSlFCRDJMejctTTNad1hrUDNnS0wzSDJlb3R0c1RhX0g5OGp3QmZzMWJv0gH8AUFVX3lxTFBzZG9mcU94cjNVTkY4RUVUeXdnWjg0RVF4emJCX2JZeXd0Zm1pQ0w3UW4zZU1UNk0tdWlhNkx1aU5icVZVR1ZJWjBPLUcyUC1ucEQzcU01X01MbV9nNHB4MzhlNDhSVUZKOTN2M1VfNThOb0t4MC1pY2hJTVAzTzVRRk5Lb0wtMWVyZ2Z0X2tJblR3cWVpRXZjWlhQRGVWcklnSjRUTG1qdUl3M0tsTkF1XzMySDJpUUMyVksyV1FNajctSTMyRGVCdjV5VEcyYXlZZ0hxWGpaSEg4TGhuZHZvQ3FPYWVSVHZKN003RUZMb2R3NDNSOWFyNmptMA?oc=5","","Wed, 31 Dec 2025 06:24:52 GMT","Google News – AI Education","AI Education","NBE launches free online programme on Artificial Intelligence AI in medical education, PG doctors,...  Medical Dialogues"
"NBE Online course on AI in medical education to help doctors across specialities, adopt AI safely,... - Medical Dialogues","https://news.google.com/rss/articles/CBMiigJBVV95cUxQS1VnTTlZTGpha1NXc2xIY1FnV2dVMzRNdnBYMG1jU01OZ1h5ZGtEeVVqMnlYNlJUYUc5NVJsUDZiUXc3R1l0LWpWZUdUakZCeEFfN296RXBWUUVXZmtqT0ZGSm9TbTMxbi1feXY1SmJrYWRFb1UwZVYwQ0F6a0kzWEduTVd4R3gtakZEcjlKb2JzSDlnZ0lJNmZyanRPMXNLa1Z5UmU2bkpDWXdvV2xWVUFfb1hJaHVKYjctWlREWTFtblUtUWsyQk5VQVI1dzZaRkR3YmgxTGhSc0M5YkVLcDRxT091WVBobTZwNmVzSFFWMmhWcXJKRmhqakZZWGxVeU5OdUpxTGROd9IBjwJBVV95cUxOMWp4STFxSGF1U2pHTzFaRW9CdUxQVy1Feko5ZTFqM0g1eU1RNVhFeFlTbDZIVFRvZWwzMnBhN1JUcDU5YjR6VkoyQ3VkdjI4MVl0SWVtZHNDUUNMbjM4Z253N2pGR28tMzYxT2Zabkxod1hvUDZNdU9EdmpIV0JJS3ZYYzlMVlVYQXFtTVhJXzRZWGxyeVNpeHpwSWdhTk4tT24tZW9fQnBqTmt3b3RMSWpvS3ZtOFNTdVFaWEZkS05tZVM0SmtoMUhtalhDbllvYTVzUGJWM0VNMVlMQV9xbTQyb05ycG5Lblo1T2ZMRzUyZmY4LU9GX0xRZU5JY0xlalQtLXZRdWtTYkpERnlz?oc=5","","Wed, 31 Dec 2025 04:00:29 GMT","Google News – AI Education","AI Education","NBE Online course on AI in medical education to help doctors across specialities, adopt AI safely,...  Medical Dialogues"
